Product_ID,Product_Name,Category,Unit_of_Measure,Standard_Cost_INR,Selling_Price_INR,Reorder_Level,Safety_Stock,Standard_Lead_Time_Days,Product_Status
P0001,Stretch Film 001,Packaging,Litre,45625.37,54010.29,364,114,7,Discontinued
P0002,Laptop 002,Electronics,Pack,77693.1,113481.57,301,86,10,Active
P0003,Monitor 003,Electronics,Litre,79893.1,99066.63,234,143,8,Active
P0004,Laptop 004,Electronics,Carton,68583.23,85902.45,310,85,15,Active
P0005,Printer 005,Office Supplies,Litre,34091.96,39489.73,145,104,18,Active
P0006,Bubble Wrap 006,Packaging,Litre,71104.93,79682.47,205,68,2,Active
P0007,Air Filter 007,Automotive,Kg,60879.15,86163.92,194,82,14,Active
P0008,Snack Pack 008,Food & Beverage,Litre,61286.3,81606.0,81,100,4,Active
P0009,Bubble Wrap 009,Packaging,Carton,44757.7,62497.13,435,127,13,Active
P0010,Router 010,Electronics,Piece,9303.7,13074.31,380,29,12,Active
P0011,Printer Paper 011,Office Supplies,Carton,58278.51,67473.95,348,26,5,Active
P0012,Brake Pad 012,Automotive,Pack,84256.44,104386.61,307,35,4,Active
P0013,Bearing 013,Industrial,Pack,16046.13,20345.95,440,231,8,Active
P0014,Hydraulic Pump 014,Industrial,Carton,23231.07,34582.55,31,150,18,Discontinued
P0015,Stapler 015,Office Supplies,Piece,77996.38,120814.34,340,128,13,Active
P0016,Industrial Gloves 016,Industrial,Box,84925.27,115478.27,38,195,4,Active
P0017,Brake Pad 017,Automotive,Box,72731.6,91281.73,419,65,15,Active
P0018,Power Drill 018,Industrial,Box,31013.48,39220.21,357,159,15,Active
P0019,Cooking Oil 019,Food & Beverage,Piece,44998.35,61653.36,417,37,7,Active
P0020,SSD 020,Electronics,Pack,68706.55,78800.77,28,180,2,Active
P0021,Industrial Gloves 021,Industrial,Litre,26975.98,35206.89,254,131,9,Active
P0022,Industrial Gloves 022,Industrial,Box,65480.81,82450.12,356,116,6,Discontinued
P0023,Industrial Gloves 023,Industrial,Kg,19188.18,27567.1,301,65,10,Active
P0024,Battery 024,Automotive,Piece,28271.83,38704.28,413,147,15,Discontinued
P0025,Office Chair 025,Office Supplies,Carton,13997.25,20718.22,417,19,9,Active
P0026,Coffee Beans 026,Food & Beverage,Piece,79361.52,93680.74,171,23,15,Active
P0027,Monitor 027,Electronics,Pack,60742.87,83228.29,495,214,13,Active
P0028,Coffee Beans 028,Food & Beverage,Carton,14001.77,21527.54,29,232,12,Active
P0029,Engine Oil 029,Automotive,Litre,58626.8,79277.46,236,45,17,Active
P0030,Laptop 030,Electronics,Piece,80805.43,110482.8,258,168,2,Active
P0031,Bubble Wrap 031,Packaging,Box,13676.2,18851.36,378,181,10,Active
P0032,Keyboard 032,Electronics,Litre,17610.18,25255.56,237,188,17,Active
P0033,Pallet 033,Packaging,Pack,44385.47,60345.18,441,103,17,Active
P0034,Monitor 034,Electronics,Box,44021.76,67343.7,108,45,14,Discontinued
P0035,Packing Tape 035,Packaging,Kg,54405.95,68598.07,489,155,6,Active
P0036,Packing Tape 036,Packaging,Kg,83287.98,120943.43,499,189,5,Discontinued
P0037,SSD 037,Electronics,Carton,33369.1,45073.75,344,50,14,Discontinued
P0038,Power Drill 038,Industrial,Litre,30669.56,41876.64,339,40,3,Active
P0039,Cooking Oil 039,Food & Beverage,Box,16862.58,21242.18,67,207,5,Active
P0040,Engine Oil 040,Automotive,Pack,41590.94,61099.07,191,99,3,Active
P0041,Bubble Wrap 041,Packaging,Carton,36328.7,50460.99,372,143,2,Active
P0042,Bearing 042,Industrial,Litre,70601.84,106686.03,131,24,10,Active
P0043,Battery 043,Automotive,Kg,22108.58,31469.56,466,119,18,Active
P0044,Snack Pack 044,Food & Beverage,Carton,53538.58,70972.29,177,19,10,Active
P0045,Cooking Oil 045,Food & Beverage,Litre,47809.02,67523.11,388,79,14,Active
P0046,Brake Pad 046,Automotive,Box,42800.71,52483.7,486,202,10,Active
P0047,Carton Box 047,Packaging,Litre,83768.81,120611.79,224,237,8,Active
P0048,Industrial Gloves 048,Industrial,Litre,78592.38,96501.42,370,99,18,Active
P0049,Industrial Gloves 049,Industrial,Pack,28723.83,35301.58,495,201,14,Discontinued
P0050,Bottled Water 050,Food & Beverage,Carton,41262.35,62461.67,162,116,10,Discontinued
P0051,Wireless Headphones 051,Electronics,Carton,5399.55,6721.39,387,133,4,Active
P0052,Bearing 052,Industrial,Piece,17466.4,23259.61,402,58,14,Discontinued
P0053,Wireless Headphones 053,Electronics,Box,36122.76,53236.12,53,166,12,Active
P0054,Carton Box 054,Packaging,Kg,46118.75,67543.74,114,156,5,Active
P0055,Power Drill 055,Industrial,Box,30968.69,40642.3,437,63,3,Active
P0056,Tea 056,Food & Beverage,Box,41197.14,52027.76,455,211,14,Active
P0057,Stretch Film 057,Packaging,Carton,41037.57,55283.72,45,53,11,Active
P0058,Pallet 058,Packaging,Box,7837.79,9415.13,459,191,10,Discontinued
P0059,Battery 059,Automotive,Box,59478.28,68961.7,460,48,3,Active
P0060,Safety Helmet 060,Industrial,Pack,5190.91,6707.11,311,48,18,Active
P0061,Safety Helmet 061,Industrial,Box,40190.23,51171.75,232,52,7,Active
P0062,Wireless Headphones 062,Electronics,Box,68729.37,97451.79,299,57,10,Discontinued
P0063,Battery 063,Automotive,Litre,31596.24,46044.99,443,35,9,Discontinued
P0064,Printer 064,Office Supplies,Carton,79401.63,98566.94,499,106,6,Discontinued
P0065,Battery 065,Automotive,Kg,43837.97,65652.24,390,19,16,Active
P0066,Bearing 066,Industrial,Carton,46812.01,64791.37,379,91,11,Active
P0067,Air Filter 067,Automotive,Piece,47347.55,57278.23,217,184,3,Active
P0068,Wireless Headphones 068,Electronics,Kg,5080.01,6590.95,409,202,9,Active
P0069,Engine Oil 069,Automotive,Kg,43186.84,59774.8,302,96,14,Active
P0070,Brake Pad 070,Automotive,Box,74695.68,90714.56,306,185,5,Discontinued
P0071,Office Chair 071,Office Supplies,Pack,34870.39,44214.37,368,103,6,Discontinued
P0072,Cooking Oil 072,Food & Beverage,Piece,6713.91,8496.17,290,216,13,Active
P0073,Keyboard 073,Electronics,Piece,31826.99,39051.86,216,72,8,Active
P0074,Bubble Wrap 074,Packaging,Box,52426.72,64538.17,87,78,5,Active
P0075,Safety Helmet 075,Industrial,Box,22554.72,29943.75,105,160,3,Active
P0076,Stapler 076,Office Supplies,Pack,68214.05,102637.83,315,60,4,Discontinued
P0077,Office Chair 077,Office Supplies,Pack,33766.88,47960.67,173,144,10,Active
P0078,Bearing 078,Industrial,Pack,48088.34,70700.15,89,82,14,Active
P0079,Carton Box 079,Packaging,Piece,48321.71,74707.93,63,108,11,Active
P0080,Coffee Beans 080,Food & Beverage,Litre,40318.46,57789.86,332,36,12,Active
P0081,Battery 081,Automotive,Carton,29561.61,33615.92,211,168,14,Active
P0082,Laptop 082,Electronics,Box,54516.87,78967.07,151,103,8,Active
P0083,Keyboard 083,Electronics,Pack,54533.76,74685.91,435,180,4,Active
P0084,Power Drill 084,Industrial,Kg,37778.02,54577.31,239,88,8,Active
P0085,Monitor 085,Electronics,Carton,64502.09,83292.38,306,81,11,Active
P0086,Office Chair 086,Office Supplies,Litre,43659.02,50875.51,442,229,3,Active
P0087,Pallet 087,Packaging,Piece,81458.9,121963.84,237,242,13,Active
P0088,Air Filter 088,Automotive,Kg,22032.67,26501.81,384,57,9,Active
P0089,Monitor 089,Electronics,Box,32184.88,46243.48,390,162,15,Active
P0090,Safety Helmet 090,Industrial,Kg,81826.91,117538.14,76,160,2,Active
P0091,Printer Paper 091,Office Supplies,Piece,33861.03,42198.88,382,83,15,Discontinued
P0092,Wireless Headphones 092,Electronics,Box,18547.18,27553.21,369,36,5,Active
P0093,Bearing 093,Industrial,Kg,42266.6,55286.13,224,216,16,Discontinued
P0094,Wireless Headphones 094,Electronics,Box,26253.47,35720.38,216,65,12,Active
P0095,SSD 095,Electronics,Carton,25844.44,37050.12,393,151,2,Active
P0096,Spark Plug 096,Automotive,Box,41060.57,49865.19,303,232,5,Active
P0097,Coffee Beans 097,Food & Beverage,Carton,75827.52,110667.69,197,84,3,Active
P0098,Coffee Beans 098,Food & Beverage,Piece,20353.82,31166.64,256,35,17,Discontinued
P0099,Brake Pad 099,Automotive,Box,59721.65,82211.14,256,250,9,Active
P0100,Pallet 100,Packaging,Carton,740.46,966.28,311,64,12,Active
P0101,Monitor 101,Electronics,Kg,51509.57,74735.46,36,204,10,Active
P0102,Bottled Water 102,Food & Beverage,Litre,53254.15,67713.32,209,117,17,Active
P0103,Cooking Oil 103,Food & Beverage,Kg,22846.93,27066.52,161,185,4,Active
P0104,Pallet 104,Packaging,Litre,25620.07,30653.61,297,48,11,Active
P0105,Power Drill 105,Industrial,Litre,11285.81,15953.7,175,213,4,Active
P0106,Whiteboard 106,Office Supplies,Carton,17277.13,20730.05,213,184,11,Active
P0107,Whiteboard 107,Office Supplies,Piece,33422.16,49966.38,328,235,16,Active
P0108,Industrial Gloves 108,Industrial,Carton,40568.88,62849.1,217,213,10,Active
P0109,Whiteboard 109,Office Supplies,Kg,61731.82,71000.87,373,189,5,Discontinued
P0110,Pallet 110,Packaging,Pack,18408.99,27397.22,228,116,10,Discontinued
P0111,Engine Oil 111,Automotive,Pack,13701.34,15490.02,40,62,6,Active
P0112,Bottled Water 112,Food & Beverage,Carton,21738.46,29843.89,439,184,13,Active
P0113,Packing Tape 113,Packaging,Litre,60316.09,87327.26,63,183,12,Active
P0114,Printer 114,Office Supplies,Kg,71212.39,82751.89,70,236,13,Active
P0115,Battery 115,Automotive,Kg,30952.13,38016.78,150,154,12,Active
P0116,Bearing 116,Industrial,Litre,74541.11,90952.35,51,95,15,Active
P0117,Printer 117,Office Supplies,Carton,50649.62,61388.67,490,224,3,Active
P0118,Printer 118,Office Supplies,Pack,78481.85,93687.84,460,187,15,Active
P0119,Spark Plug 119,Automotive,Piece,2357.09,3526.98,226,66,18,Active
P0120,Printer 120,Office Supplies,Box,79134.25,113622.48,236,214,10,Active
P0121,Spark Plug 121,Automotive,Pack,16596.61,20530.42,119,200,14,Active
P0122,Printer 122,Office Supplies,Piece,49424.31,57463.18,208,225,9,Active
P0123,Industrial Gloves 123,Industrial,Pack,45905.5,58009.3,308,180,4,Active
P0124,Laptop 124,Electronics,Box,71105.98,100523.98,411,167,3,Active
P0125,Bottled Water 125,Food & Beverage,Box,11722.91,15569.14,177,14,3,Active
P0126,Bubble Wrap 126,Packaging,Litre,60029.09,68829.05,226,14,10,Discontinued
