Inventory_ID,PO_ID,Product_ID,Warehouse_ID,Snapshot_Date,Opening_Stock,Stock_In,Stock_Out,Closing_Stock,Reorder_Level,Safety_Stock,Inventory_Value_INR,Stock_Status,Capacity_Utilization_Percent
INVT000001,PO000001,P0097,WH003,22-10-2025,715,355,189,881,197,84,60715506.98,Normal,3.31
INVT000002,PO000002,P0128,WH001,11-06-2025,465,489,375,579,404,136,16862882.85,Normal,2.5
INVT000003,PO000003,P0279,WH004,06-06-2025,224,600,480,344,138,52,24955799.92,Normal,2.35
INVT000004,PO000004,P0121,WH004,02-07-2025,73,260,277,56,119,200,990622.08,Reorder,0.38
INVT000005,PO000005,P0120,WH001,28-07-2025,686,290,150,826,236,214,64010308.32,Normal,3.56
INVT000006,PO000006,P0072,WH001,18-06-2025,98,836,1163,0,290,216,0,Stockout,0
INVT000007,PO000007,P0084,WH003,13-04-2025,319,569,378,510,239,88,19309681.2,Normal,1.91
INVT000008,PO000008,P0135,WH003,24-01-2025,222,669,263,628,182,127,39559892.88,Normal,2.36
INVT000009,PO000009,P0070,WH002,10-04-2025,1112,13,15,1110,306,185,82830653.1,Normal,5.99
INVT000010,PO000010,P0030,WH004,22-06-2025,672,16,9,679,258,168,53274747.4,Normal,4.65
INVT000011,PO000011,P0032,WH002,26-10-2025,193,755,987,0,237,188,0,Stockout,0
INVT000012,PO000012,P0107,WH002,17-07-2025,1305,734,151,1888,328,235,66221883.2,Overstock,10.18
INVT000013,PO000013,P0236,WH003,15-11-2025,1637,743,1056,1324,480,237,92240921.88,Normal,4.97
INVT000014,PO000014,P0144,WH002,27-01-2025,1064,666,288,1442,391,246,65064539.68,Normal,7.78
INVT000015,PO000015,P0064,WH001,19-02-2026,1274,741,784,1231,499,106,90070645.08,Normal,5.31
INVT000016,PO000016,P0198,WH002,16-06-2025,39,418,446,11,38,223,706867.7,Reorder,0.06
INVT000017,PO000017,P0010,WH001,22-03-2025,1334,907,619,1622,380,29,13623778.14,Normal,7
INVT000018,PO000018,P0007,WH004,14-10-2025,191,347,36,502,194,82,30992701.9,Normal,3.44
INVT000019,PO000019,P0090,WH004,03-04-2025,89,920,1025,0,76,160,0,Stockout,0
INVT000020,PO000020,P0106,WH001,01-07-2025,17,833,470,380,213,184,6459027.2,Normal,1.64
INVT000021,PO000021,P0016,WH004,09-04-2026,76,412,111,377,38,195,33470297.51,Overstock,2.58
INVT000022,PO000022,P0064,WH002,06-11-2025,680,104,154,630,499,106,52856716.5,Normal,3.4
INVT000023,PO000023,P0221,WH002,28-02-2025,446,348,218,576,187,23,28375228.8,Normal,3.11
INVT000024,PO000024,P0239,WH002,26-04-2026,798,277,233,842,338,96,41026652.08,Normal,4.54
INVT000025,PO000025,P0135,WH004,18-03-2026,19,982,967,34,182,127,2090526.72,Reorder,0.23
INVT000026,PO000026,P0067,WH003,16-03-2025,152,73,89,136,217,184,6829416.8,Reorder,0.51
INVT000027,PO000027,P0208,WH003,04-12-2025,467,132,61,538,159,116,16576517.06,Normal,2.02
